file,app,iscorrect,topk,isCorrectMRR,firstrankIscorrect
fold_3valid.csv,project384,0,10,0,0
fold_3valid.csv,project629,1,10,1,0.333333333
fold_3valid.csv,project764,1,10,1,0.25
fold_3valid.csv,project125,0,10,0,0
fold_3valid.csv,project499,0,10,0,0
fold_3valid.csv,project223,1,10,1,1
fold_3valid.csv,project266,1,10,1,0.25
fold_3valid.csv,project102,1,10,1,0.166666667
fold_3valid.csv,project493,0,10,0,0
fold_3valid.csv,project185,1,10,1,0.142857143
fold_3valid.csv,project191,1,10,1,0.25
fold_4valid.csv,Applicatons/libraries,0,10,0,0
fold_4valid.csv,project443,0,10,0,0
fold_4valid.csv,project554,0,10,0,0
fold_4valid.csv,project866,1,10,1,1
fold_4valid.csv,project634,1,10,1,1
fold_4valid.csv,project520,0,10,0,0
fold_4valid.csv,project188,0,10,0,0
fold_4valid.csv,project564,1,10,1,1
fold_4valid.csv,project346,0,10,0,0
fold_4valid.csv,project489,1,10,1,0.125
fold_4valid.csv,project111,0,10,0,0
fold_4valid.csv,project881,1,10,1,1
fold_4valid.csv,project67,1,10,1,0.1
fold_4valid.csv,project357,0,10,0,0
fold_4valid.csv,project231,0,10,0,0
fold_4valid.csv,project444,1,10,1,1
fold_4valid.csv,project483,1,10,1,0.25
fold_4valid.csv,project274,1,10,1,0.333333333
fold_4valid.csv,project739,1,10,1,1
fold_4valid.csv,project187,0,10,0,0
fold_4valid.csv,project381,1,10,1,1
fold_4valid.csv,project68,1,10,1,0.2
fold_4valid.csv,project19,1,10,1,0.5
fold_4valid.csv,project285,0,10,0,0
fold_4valid.csv,project419,1,10,1,1
fold_4valid.csv,project958,1,10,1,0.111111111
fold_4valid.csv,project52,1,10,1,1
fold_4valid.csv,project875,1,10,1,1
fold_4valid.csv,project615,1,10,1,1
fold_4valid.csv,project211,1,10,1,0.1
fold_4valid.csv,project992,0,10,0,0
fold_4valid.csv,project120,0,10,0,0
fold_4valid.csv,project203,0,10,0,0
fold_4valid.csv,project745,0,10,0,0
fold_4valid.csv,project624,0,10,0,0
fold_4valid.csv,project473,1,10,1,1
fold_4valid.csv,project640,1,10,1,0.2
fold_4valid.csv,project34,1,10,1,1
fold_4valid.csv,project924,1,10,1,1
fold_4valid.csv,project194,0,10,0,0
fold_4valid.csv,project450,1,10,1,1
fold_4valid.csv,project571,0,10,0,0
fold_4valid.csv,project320,0,10,0,0
fold_4valid.csv,project633,0,10,1,0.083333333
fold_4valid.csv,project862,1,10,1,1
fold_4valid.csv,project671,1,10,1,0.2
fold_4valid.csv,project284,0,10,0,0
